mrw	776000
kxc	247660
gwr	621000
cce	962000
amk	10100
amf	81620
nmz	146000
sri	200
srn	367300
srm	14100
lob	220000
lok	178000
lon	2290000
hnn	18800
wmw	120000
mpg	218000
mpm	2000
mpx	18000
kzf	55000
gqr	128000
ceg	1600
ceb	15800000
ifu	30000
ify	8000
ife	127000
ifa	27100
ifb	10100
ifk	30000
pui	2000
ncu	69000
nch	196000
ncj	60000
dts	50000
dtp	264000
lia	442000
lip	23000
kac	900000
kab	5000000
kaa	506000
kao	700000
kan	46700000
kaz	9980000
bzj	130000
bzh	10500
tfr	3300
stn	8410
ade	26400
adh	482000
gso	220000
run	10000000
cgc	30000
rug	25870
rus	153612510
bgr	4440
pww	60000
nan	27100000
nas	20000
kcg	130000
ycl	380000
ozm	40000
maz	74000
mal	34451800
cya	8940
beh	97000
ben	261517930
bex	100000
bep	10000
awa	2530000
urd	109100000
ura	3000
urb	800
ury	1600
ngu	125000
tby	15000
tbz	88300
mgd	70000
mgo	183000
shp	26000
shi	3890000
shk	175000
luc	495000
keo	182000
ken	65000
kek	800000
kez	180000
keu	70300
ker	44500
jiv	61900
yaz	120000
ote	88500
mza	2570
mzm	400000
mzk	99000
zyp	17000
xsr	153180
xsu	4610
xsb	70000
xsm	83600
swe	12362250
hne	13300000
hns	73300
bcw	23000
neb	50000
new	879600
men	1940000
mej	14800
meq	10000
lwo	80000
mxt	9760
mxb	5080
xuo	12300
gym	169000
gyr	5930
tyv	254000
dop	83400
bav	27000
ban	3330000
bam	14000000
bak	1150000
omw	7000
mco	5000
mcd	450
mcb	5910
mca	1500
mcu	30000
mcq	10000
mcp	80000
sld	13000
kij	20000
kia	15400
dik	450000
box	268000
bov	11400
boj	2020
boa	750
ayr	998000
nyy	1080000
nyn	3370000
nyo	969000
nyf	944000
mar	74700000
maw	316000
snn	200
maa	18900
snw	11300
mad	6770000
mag	14000000
mai	30000000
mah	42500
mak	2530000
maj	17500
mam	530000
lsm	521000
lsi	30000
kki	241000
kkj	100000
ori	32656870
gej	201000
tur	71463470
tuo	4600
tue	350
tuf	2500
bmq	102000
bmv	21400
pau	14000
pab	2000
pad	290
pag	1160000
pam	1900000
mos	6360000
mor	30000
mop	10600
moa	20000
mog	230000
kmr	8130000
kmy	32000
gor	1000000
abi	50500
twu	30000
des	960
cso	3590
csk	45100
bkv	100000
pcm	30000000
oku	87000
kog	9910
aeu	10000
gag	138000
rav	20300
fuq	450000
fuf	2550000
ewe	3820000
dga	924000
dgi	247000
jbu	2440
cuc	7410
cuk	57100
bim	176000
qwh	336000
bib	399000
biv	125000
bis	10000
pes	50100000
nsu	25000
sda	750000
kqp	20000
kqy	159370
kqe	70000
che	1350000
chv	1243000
chz	3140
tso	5680000
tsz	40000
eus	468000
daa	60000
dah	1570
cwt	7200
rej	350000
cwe	98000
qup	1550
bwu	168000
quw	20000
quy	900000
quz	1500000
quc	0
qub	40000
quf	20000
quh	1610000
qul	116000
hat	6960000
udu	22000
hau	33500000
udm	324000
mil	5500
mio	20000
min	5530000
mib	8300
mif	90000
miy	11600
miq	114000
mit	3180
ksb	664000
ilo	6920000
cjp	11100
qvh	72400
adj	100000
gmv	1094400
ess	1000
ese	500
tmc	25200
bus	62000
bud	160000
pir	1430
pis	331400
nwb	42700
mww	233000
mwv	58000
kus	535000
kum	426000
kue	115000
kub	44600
aia	6750
enb	180000
eng	371959910
enx	3840
cle	2000
gog	1930000
gof	392400
nhe	410000
nhi	17100
nhu	40000
nhw	400000
nhx	26600
tos	120000
toh	224000
tob	40000
toc	48100
bss	100000
pkb	95000
nus	740000
nuj	530000
mup	5560000
mur	60000
muy	30000
muh	0
kwi	12000
qxh	50000
qxn	250000
qxo	250000
qxl	14300
qxr	100000
cnt	1850
icr	12000
cnl	10700
cnk	60000
twb	6810
ppk	20000
ahk	200000
awb	2050
gil	103000
nnb	903000
nnw	147000
tir	4467000
tik	110000
sqi	4082380
ron	24150840
lln	26000
bqc	100000
bqj	13000
bqp	15000
cni	35200
pmf	137000
msy	8000
msa	60824376
kyc	15400
kyf	10100
kyz	1000
kyq	40000
yua	735000
yue	62000000
hub	9330
hui	150000
huu	1000
huv	11000
hus	132000
prf	15000
ann	250000
anv	11200
prs	7600000
gkn	100000
nlc	16000
dyu	8500000
dyo	0
dyi	95500
rmy	246000
lnd	23000
rmo	80000
por	218765470
pol	37400000
poh	92200
poi	26000
poe	3690
mqb	15000
mqj	100000
gvl	163000
gvc	450
jun	23700
cbs	750
cbv	400
cbt	7870
ign	4500
alj	2150
alz	750000
ptu	22000
alp	17200
far	6700
fal	20000
tel	79244300
tem	1870000
teo	2360000
sua	2500
sun	34000000
sus	906000
sur	150000
sba	1320000
lhu	280000
izr	50000
bfa	595000
bfd	100000
bfo	108000
hif	380000
hig	300000
hil	5770000
hin	260129750
arz	62300000
arb	24900000
tgp	800
tgk	7863920
tgo	2000
tgl	24628290
dug	397000
rim	801000
ljp	827000
ixl	69000
iba	1452000
cfm	69000
apr	3020
pxm	8090
apd	26700000
tat	4280000
taq	378000
tam	68700000
taj	1213500
dwr	563000
sig	36000
sil	105000
kbr	881700
kbp	975000
nfr	61000
xrb	35000
bbo	35000
bba	564000
avu	40000
avn	27200
ava	715000
mfe	1090000
mfh	18000
mfi	23500
mfk	27500
mfq	319000
mfy	39800
mfz	50000
tcc	87800
tca	32600
kdn	145000
kdi	266000
kdj	666000
kdc	45000
ndz	20000
bcl	2500000
myy	1000
myx	1650000
myk	738000
myb	80000
